Date,Close,High,Low,Open,Volume,symbol,swing_high,swing_low,last_swing_high,last_swing_low,bos,bos_down,range_ok,buy_signal,sell_signal,position,entry_price,risk_amount,qty,trade_pnl,equity_curve,strategy_returns,peak,drawdown
2015-12-14 00:00:00,206.954833984375,208.77498506059575,204.98300847329259,205.32970736030373,10563900.0,RELIANCE.NS,False,False,214.28956617379202,197.7999185911125,False,False,True,0.0,0.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
2015-12-15 00:00:00,211.46185302734375,211.90605689006546,206.6406283284482,207.36652773745791,15718833.0,RELIANCE.NS,False,False,214.28956617379202,197.7999185911125,False,False,True,0.0,0.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
2015-12-16 00:00:00,212.05772399902344,213.9862138120149,210.94180466909168,211.46184572819857,12097338.0,RELIANCE.NS,False,False,214.28956617379202,197.7999185911125,False,False,True,0.0,0.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
2015-12-17 00:00:00,218.78573608398438,219.93417143545585,211.91686407028837,212.36106787702778,19369032.0,RELIANCE.NS,True,False,219.93417143545585,197.7999185911125,False,False,True,0.0,0.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
2015-12-18 00:00:00,214.9287872314453,218.63407790552466,214.5170850533323,217.50732470766613,16016139.0,RELIANCE.NS,False,False,219.93417143545585,197.7999185911125,False,False,True,0.0,0.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
2015-12-21 00:00:00,214.9721221923828,216.46724201546115,213.2928262873884,214.0620467410362,12331769.0,RELIANCE.NS,False,False,219.93417143545585,197.7999185911125,False,False,True,0.0,0.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
2015-12-22 00:00:00,213.9320526123047,217.24730906758558,213.21698708820668,215.1238091998418,11579277.0,RELIANCE.NS,False,True,219.93417143545585,213.21698708820668,False,False,True,0.0,0.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
2015-12-23 00:00:00,217.50730895996094,218.1790243822691,214.51706952212285,214.90710389759477,12919467.0,RELIANCE.NS,False,False,219.93417143545585,213.21698708820668,False,False,True,0.0,0.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
2015-12-24 00:00:00,216.80308532714844,218.24403566657762,215.88219048364215,217.52898467250333,11901877.0,RELIANCE.NS,False,False,219.93417143545585,213.21698708820668,False,False,True,0.0,0.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
2015-12-28 00:00:00,218.9374237060547,219.66330855496184,216.68390302605337,216.81390966207238,12885935.0,RELIANCE.NS,False,False,219.93417143545585,213.21698708820668,False,False,True,0.0,0.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
2015-12-29 00:00:00,220.0208282470703,220.73587916732393,218.2331792497359,218.9374107487627,14913870.0,RELIANCE.NS,False,False,219.93417143545585,213.21698708820668,True,False,True,0.0,0.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
2015-12-30 00:00:00,217.65899658203125,220.15086293148974,217.1172877638419,219.9341851900015,8151610.0,RELIANCE.NS,False,False,219.93417143545585,213.21698708820668,False,False,True,1.0,0.0,1.0,217.65899658203125,2000.0,918.8685197518315,0.0,1.0,0.0,1.0,0.0
2015-12-31 00:00:00,219.84747314453125,220.95257288639925,216.48888176925104,217.4206248743435,18483713.0,RELIANCE.NS,True,False,220.95257288639925,213.21698708820668,False,False,True,0.0,0.0,1.0,217.65899658203125,2000.0,918.8685197518315,0.0,1.0,0.0,1.0,0.0
2016-01-01 00:00:00,220.01002502441406,220.7792454803435,218.46073576088267,218.8074201514001,5416562.0,RELIANCE.NS,False,False,220.95257288639925,213.21698708820668,False,False,True,0.0,0.0,1.0,217.65899658203125,2000.0,918.8685197518315,0.0,1.0,0.0,1.0,0.0
2016-01-04 00:00:00,215.6654815673828,219.67413509294985,213.80199532224194,217.76731330391894,30170947.0,RELIANCE.NS,False,True,220.95257288639925,213.80199532224194,False,False,True,0.0,0.0,1.0,217.65899658203125,2000.0,918.8685197518315,0.0,1.0,0.0,1.0,0.0
2016-01-05 00:00:00,217.7998504638672,218.85076650343774,216.03388336908822,216.74893442429666,14946239.0,RELIANCE.NS,False,False,220.95257288639925,213.80199532224194,False,False,True,0.0,0.0,1.0,217.65899658203125,2000.0,918.8685197518315,0.0,1.0,0.0,1.0,0.0
2016-01-06 00:00:00,223.66116333007812,225.0046088392531,216.77060804018743,218.33073130996965,26759864.0,RELIANCE.NS,True,False,225.0046088392531,213.80199532224194,False,False,True,0.0,0.0,1.0,217.65899658203125,2000.0,918.8685197518315,0.0,1.0,0.0,1.0,0.0
2016-01-07 00:00:00,219.55499267578125,222.75107626597082,218.42823945006,221.2451225143631,19739943.0,RELIANCE.NS,False,False,225.0046088392531,213.80199532224194,False,False,True,0.0,0.0,1.0,217.65899658203125,2000.0,918.8685197518315,0.0,1.0,0.0,1.0,0.0
